Gender,Income,Loan_Approval
1,50070.322641954015,1
1,47090.665506972764,1
0,58590.31051152553,1
1,68452.54731014711,1
0,52829.71613189222,0
0,49241.371953113965,0
1,62737.52397052423,1
1,51425.33734398317,1
1,62413.351492721995,1
0,64938.321881845775,0
1,58617.151096872425,0
0,57715.71917302735,0
1,54867.68238854999,1
0,30510.997213819963,1
1,32181.813356738454,1
1,57869.403620414356,1
1,57001.7791522837,0
1,30267.934170333254,1
0,75034.43515012969,1
0,47002.32178157115,0
0,73332.37351857542,0
0,49713.06719622347,0
1,40811.15516980335,1
1,39190.67494736165,1
0,54027.02434986283,1
0,40229.270876497736,0
1,73691.11541864445,1
1,61834.612125763306,1
1,60908.313369957505,1
1,40187.531922658134,1
1,57134.144162498844,1
0,70537.84472845498,0
1,46175.41980003319,1
1,60485.79455345746,1
1,35702.83600647043,0
1,46966.30441844702,0
1,38318.49936713507,1
1,51047.62587708225,1
0,37819.378160323206,0
0,70539.562144665,1
1,23976.35726596607,1
0,37167.013325750726,0
0,65807.41829083084,1
0,66119.54674788979,1
0,35696.21602340504,1
0,42609.93200552896,0
0,44459.903606091655,0
0,46338.02438307223,0
0,59036.330510285894,0
1,52412.90861385467,1
0,26735.249304566933,0
0,31515.67825701197,0
1,90518.55109070343,1
1,53144.29242876012,1
1,71248.65174014586,1
0,46226.28295662135,1
1,58152.206277099904,1
1,63723.91710333645,1
1,52759.456052474154,1
1,68189.55099108425,1
0,42423.6754885305,0
0,28621.76715491539,1
0,54450.40144459442,1
1,29488.66160268873,1
1,38372.6474624915,1
1,19538.68119258559,1
0,60396.31242855154,0
0,74725.09769967131,1
0,66051.99603948582,1
0,54760.45026128732,0
1,74401.12630628109,1
1,26921.92243091863,1
1,58688.12128150496,0
0,40014.800500445665,0
1,60168.31892164355,1
1,13544.095330148812,0
1,60912.60993115549,1
1,30542.99239356576,1
0,33839.828178956566,0
1,44168.64007067763,1
1,47929.801747659265,0
0,42344.86459434649,0
0,31692.127699025546,0
1,42924.12090344813,1
0,42176.93582816346,0
1,55014.34042747912,0
1,54655.20379428226,1
1,38527.97068526056,1
0,54207.38404186582,0
0,57910.182082325664,0
0,43308.57956122925,0
1,45654.481821505295,1
1,26324.223713500356,0
1,49418.010134686425,1
0,32200.251005772592,0
0,50300.545178209824,0
1,42481.53376316659,1
1,56009.13355320485,0
1,42353.672066711515,1
1,44113.6139175519,1
1,28363.337725942776,1
1,29828.449721342247,1
