Gender,Income,Loan_Approval
1,49233.00099248113,1
1,92633.67181599661,1
1,40997.38817510259,1
1,24393.603996048856,1
1,65059.00102407591,1
1,92685.65071703072,1
0,30721.50584042091,0
0,55303.29562191745,0
1,41949.51536815459,0
1,20378.110809444188,1
0,53351.74663782826,1
0,18375.046331256868,0
1,4764.391768935704,1
0,58676.719234968936,0
1,69881.52686073887,1
0,48622.95826586906,0
0,82782.22040520729,0
1,66363.03390489606,1
0,51536.57617170908,1
1,75611.46408620293,0
0,39512.29592270101,0
1,90176.42496901393,1
1,54914.625141695185,1
0,71805.61513705183,0
0,67825.8067245209,0
1,78245.64351699142,0
1,67007.45698286353,1
1,66050.73039533584,1
1,39630.235656327844,1
0,63070.97065314809,0
1,83430.9227899239,1
0,4764.391768935704,0
1,62406.33287394782,1
0,58865.561285524964,0
1,49207.6764466451,1
0,25216.94055210794,0
0,50169.239041873676,0
0,52986.96040572287,0
1,21910.327446393672,1
1,82620.40208195668,1
1,80434.6382442022,1
0,77914.53216312703,1
1,34299.40367141168,1
1,37735.681865436425,1
0,47025.040315980674,0
1,9246.531816474293,1
0,35847.93254198531,1
0,4764.391768935704,0
1,62068.354776301596,1
1,14285.275696580477,1
1,48530.32866398845,0
0,68632.37351839738,0
0,30609.74127742065,0
1,74580.25444886326,1
0,43948.3681340666,0
1,72478.53794095734,0
1,89613.57977785365,1
1,35045.351882043506,1
0,58785.99567086077,0
1,81633.95252933969,1
0,35432.39997882844,1
1,54526.36757292099,0
0,68287.21005551802,0
0,81445.79724618151,0
1,28885.1645252049,1
1,35713.41722884548,1
1,4764.391768935704,1
1,62365.13922737239,1
1,8680.275445807558,1
1,65415.48618445335,1
0,33966.64450905004,0
1,35835.85038968477,0
0,72699.60348682929,0
0,45161.521988158216,0
0,40456.99133743866,0
1,7921.063036287254,1
0,59159.261577919075,0
1,43096.02568077236,1
1,15137.850653193273,1
0,27633.651985613156,0
1,93752.4976936152,1
0,47444.59869167916,0
0,44997.80391258935,0
0,51219.2086517881,0
1,51549.37093057885,1
0,43885.08945046327,0
0,49856.30545408775,0
1,28381.370717986098,1
0,74492.49863995113,1
1,34779.702220419225,1
0,74321.69614419973,1
0,74925.38579170586,0
0,42569.51180441655,0
0,18292.25884685015,0
1,20775.650593934548,1
0,18808.128391492864,0
0,33647.21337455439,0
0,67574.51820746103,1
1,70663.57696018906,1
0,61356.63967085228,0
1,51120.522196672806,1
1,38807.051817733925,1
1,43261.5244916853,1
1,85296.3554548801,1
0,54384.09413221948,0
1,55586.68567358104,1
1,67241.76535273208,1
1,57592.65920487794,1
1,89174.89288655738,1
0,82448.51404515098,0
1,89746.30388912401,1
1,53516.35935815557,1
1,58707.09783028902,1
0,41851.77042607178,0
1,42495.48103061466,1
1,75179.7089758531,1
1,68281.61140074574,0
1,22601.0769702741,0
0,71251.10610149991,0
1,52521.14906525664,1
1,61056.07846771531,0
1,60169.789408795565,1
0,74130.65900625473,0
1,76852.39746425334,1
0,49045.00397385919,0
0,65296.83183916456,0
1,39273.66212570079,1
1,89285.03157230851,1
1,93752.4976936152,1
1,51043.499650582504,1
0,77568.20275980426,0
0,29419.409111112363,0
1,78693.32342872254,1
1,19408.818403079436,1
0,62117.272990836325,0
1,48228.049885869485,1
1,57418.00286742259,1
0,32461.785720212578,0
0,65683.68924932458,0
1,89971.77853043747,1
1,18704.998719093084,1
